year.month.day;caudal
1995-12-01;38.4525
1996-01-01;30.4805
1996-02-01;25.1725
1996-03-01;27.85
1996-04-01;20.425
1996-05-01;23.249
1996-06-01;22.572
1996-07-01;24.358
1996-08-01;22.614
1996-09-01;21.098
1996-10-01;17.895
1996-11-01;16.265
1996-12-01;16.7535
1997-01-01;22.4455
1997-02-01;19.9065
1997-03-01;28.276
1997-04-01;17.64
1997-05-01;19.312
1997-06-01;33.232
1997-07-01;28.083
1997-08-01;27.983
1997-09-01;35.165
1997-10-01;102.053
1997-11-01;170.296
1997-12-01;283.2665
1998-01-01;295.477
1998-02-01;128.685
1998-03-01;104.315
1998-04-01;103.274
1998-05-01;78.326
1998-06-01;63.029
1998-07-01;52.149
1998-08-01;46.378
1998-09-01;44.302
1998-10-01;44.686
1998-11-01;38.348
1998-12-01;48.9055
1999-01-01;52.3875
1999-02-01;50.7605
1999-03-01;46.067
1999-04-01;30.003
1999-05-01;34.197
1999-06-01;32.013
1999-07-01;30.70450
1999-08-01;30.40450
1999-09-01;30.94450
1999-10-01;49.24450
1999-11-01;76.081
1999-12-01;58.9805
2000-01-01;53.655
2000-02-01;41.6895
2000-03-01;28.457
2000-04-01;27.052
2000-05-01;32.361
2000-06-01;33.128
2000-07-01;31.11
2000-08-01;29.398
2000-09-01;31.70450
2000-10-01;62.93450
2000-11-01;83.88450
2000-12-01;150.0845
2001-01-01;97.1865
2001-02-01;78.144
2001-03-01;58.171
2001-04-01;41.576
2001-05-01;40.662
2001-06-01;40.996
2001-07-01;37.326
2001-08-01;33.64
2001-09-01;35.939
2001-10-01;76.546
2001-11-01;71.883
2001-12-01;125.14
2002-01-01;89.529
2002-02-01;59.6615
2002-03-01;49.818
2002-04-01;39.843
2002-05-01;37.255
2002-06-01;46.983
2002-07-01;48.657
2002-08-01;51.335
2002-09-01;44.588
2002-10-01;103.154
2002-11-01;198.247
2002-12-01;232.0815
2003-01-01;203.30790
2003-02-01;138.945
2003-03-01;112.055
2003-04-01;80.426
2003-05-01;67.372
2003-06-01;65.109
2003-07-01;47.846
2003-08-01;52.044
2003-09-01;54.222
2003-10-01;61.352
2003-11-01;81.923
2003-12-01;86.7735
2004-01-01;82.1575
2004-02-01;77.474
2004-03-01;51.239
2004-04-01;42.86
2004-05-01;44.694
2004-06-01;44.242
2004-07-01;39.237
2004-08-01;38.175
2004-09-01;36.72
2004-10-01;38.391
2004-11-01;33.811
2004-12-01;53.9035
2005-01-01;58.652
2005-02-01;43.6305
2005-03-01;30.772
2005-04-01;29.899
2005-05-01;30.238
2005-06-01;32.91
2005-07-01;38.874
2005-08-01;25.886
2005-09-01;36.413
2005-10-01;77.14
2005-11-01;153.67570
2005-12-01;223.46240
2006-01-01;192.11500
2006-02-01;127.19400
2006-03-01;69.92502
2006-04-01;57.95992
2006-05-01;51.30852
